category,scope_label,question_code,question_row,assessment_input_cell,type,lifecycle_phase,environmental_dimension,question
Governance and Compliance,"G1: Alignment with relevant EU regulations (CSRD, ESRS, EED, ESPR, WEEE, LCA, ISO14040, ISO14044)",G1.1,6,P6,Output / Achievement,Cross-cutting,Non-environmental,"To what extent is the RI aligned with relevant EU environmental regulations such as CSRD, ESRS, EED, ESPR, WEEE, LCA, ISO14040, ISO14044?"
Governance and Compliance,"G1: Alignment with relevant EU regulations (CSRD, ESRS, EED, ESPR, WEEE, LCA, ISO14040, ISO14044)",G1.2,9,P9,"Task /
activity",Cross-cutting,Non-environmental,Has the RI conducted a review or gap analysis to identify which regulations apply and how they are addressed?
Governance and Compliance,G2: Existence of a formal environmental sustainability strategy,G2.1,12,P12,Output / Achievement,Cross-cutting,Non-environmental,"Is there a documented environmental sustainability strategy in place, endorsed by leadership and periodically updated?"
Governance and Compliance,G3: Defined roles and responsibilities for sustainability,G3.1,15,P15,"Task /
activity",Cross-cutting,Non-environmental,Are roles and responsibilities for environmental sustainability clearly assigned across relevant functions within the RI?
Governance and Compliance,G4: Inclusion of sustainability in internal policies or quality systems,G4.1,18,P18,"Task /
activity",Cross-cutting,Non-environmental,"To what extent is environmental sustainability integrated into the RI’s internal policies, management systems, or quality frameworks?"
Governance and Compliance,G5: Inclusion of sustainability in procurement or supplier management,G5.1,21,P21,"Task /
activity",Cross-cutting,Non-environmental,Does the RI include environmental sustainability criteria in procurement processes and supplier evaluations?
Stakeholder Engagement and Awareness,S1: Sustainability awareness/training for staff,S1.1,25,P25,"Task /
activity",Cross-cutting,Non-environmental,To what extent does the RI provide staff training or awareness programmes on environmental sustainability topics relevant to their roles?
Stakeholder Engagement and Awareness,S2: Involvement of stakeholders in environmental planning,S2.1,28,P28,"Task /
activity",Cross-cutting,Non-environmental,"Are relevant stakeholders (e.g. users, suppliers, partners) engaged in environmental planning or sustainability goal-setting processes?"
Stakeholder Engagement and Awareness,S3: Transparent communication of environmental performance,S3.1,31,P31,Output / Achievement,Cross-cutting,Non-environmental,"Does the RI regularly communicate its environmental performance, actions, or goals to internal and external stakeholders?"
Energy Efficiency and Decarbonisation,E1: Adoption of renewable energy sources,E1.1,35,P35,Output / Achievement,Operation,Energy,"What proportion of the RI’s energy consumption is sourced from renewable energy, and how is this verified?"
Energy Efficiency and Decarbonisation,E2: AI-driven workload or energy optimisation,E2.1,38,P38,"Task /
activity",Operation,Energy,"Are AI or automation systems used to optimise energy consumption across compute, cooling, or other infrastructure components?"
Energy Efficiency and Decarbonisation,E3: Waste heat recovery or reuse strategies,E3.1,41,P41,"Task /
activity",Operation,Energy,Does the RI implement strategies to recover or reuse waste heat generated by infrastructure?
Energy Efficiency and Decarbonisation,E4: Power Usage Effectiveness (PUE) tracking and optimisation,E4.1,44,P44,Output / Achievement,Operation,Energy,"Is the RI’s PUE monitored regularly, and are efforts in place to optimise it over time?"
Energy Efficiency and Decarbonisation,E5: Carbon Use Effectiveness (CUE) tracking and reduction,E5.1,47,P47,Output / Achievement,Operation,Climate Change,Is CUE calculated and used as a metric for assessing carbon performance of the RI’s operations?
Energy Efficiency and Decarbonisation,E6: Flexible energy usage or smart grid responsiveness,E6.1,50,P50,"Task /
activity",Operation,Energy,"Does the RI participate in energy flexibility initiatives, such as demand response or smart grid integration?"
Environmental Monitoring and Impact,"M1: Measurement of environmental KPIs (GHG, energy, water, waste)",M1.1,54,P54,Output / Achievement,Operation,Climate Change,"Which environmental KPIs (e.g. GHG emissions, energy, water, waste) are currently measured and how frequently are they reported?"
Environmental Monitoring and Impact,M2: Use of environmental metrics in planning and reporting,M2.1,57,P57,"Task /
activity",Cross-cutting,Climate Change,To what extent are environmental metrics integrated into the RI’s strategic planning or operational decision-making?
Environmental Monitoring and Impact,M3: Lifecycle-based environmental impact assessment (based on LCA methodology),M3.1,60,P60,"Task /
activity",Cross-cutting,Climate Change,"Has the RI conducted or applied lifecycle assessments (LCA) to evaluate its environmental impact across different phases, including monitoring of Global Warming Potential (GWP) and Cumulative Energy Demand (CED)?"
Environmental Monitoring and Impact,M4: Use of WUE (Water Usage Effectiveness) or similar water metrics,M4.1,63,P63,Output / Achievement,Operation,Waste,Is WUE or any comparable metric tracked and used to assess the RI’s water efficiency performance?
Environmental Monitoring and Impact,M5: Implementation of monitoring tools/platforms,M5.1,66,P66,"Task /
activity",Operation,Non-environmental,"Are dedicated tools or platforms in place for tracking, visualising, or reporting environmental performance?"
"Pollution, Waste, and Circularity",P1: Reduction of operational waste (incl. e-waste),P1.1,70,P70,"Task /
activity",Operation,Waste,"Are practices in place to reduce operational waste generation, including e-waste from IT systems and equipment?"
"Pollution, Waste, and Circularity",P2: End-of-life management for equipment,P2.1,73,P73,"Task /
activity",Termination,Waste,"Does the RI apply defined procedures for the reuse, recycling, or proper disposal of decommissioned equipment?"
"Pollution, Waste, and Circularity","P3: Circular IT practices (reuse, remanufacturing, modularity)",P3.1,76,P76,"Task /
activity",Design,Waste,"Are circular IT principles such as reuse, modularity, or refurbishment applied in procurement or infrastructure management?"
"Pollution, Waste, and Circularity","P4: Pollution control (air, water, soil)",P4.1,79,P79,"Task /
activity",Operation,Waste,"Are measures in place to monitor and manage pollution risks related to air, water, or soil emissions from RI operations?"
"Pollution, Waste, and Circularity",P5: Use of low-impact or non-toxic materials,P5.1,82,P82,"Task /
activity",Design,Waste,"Are environmental criteria applied when selecting materials or products, with preference for low-impact or non-toxic options?"
Water and Ecosystems,W1: Water usage monitoring and reduction strategies,W1.1,86,P86,"Task /
activity",Operation,Water,To what extent does the RI monitor its water consumption and implement strategies to reduce it?
Water and Ecosystems,W2: Impact on local ecosystems or biodiversity,W2.1,89,P89,"Task /
activity",Design,Water,"Does the RI assess and manage its potential impacts on local ecosystems or biodiversity, particularly for physical infrastructure?"
Water and Ecosystems,"W3: Rainwater harvesting, reuse, or runoff management",W3.1,92,P92,Output / Achievement,Design,Water,"Are there systems or practices in place for rainwater harvesting, water reuse, or managing stormwater runoff?"
Water and Ecosystems,W4: Water-based cooling systems and water efficiency strategies,W4.1,95,P95,"Task /
activity",Operation,Water,"Does the RI use water-based cooling systems, and are measures in place to optimise their water efficiency and minimise environmental impact?"
Lifecycle Integration,L1: Sustainability embedded in the design phase,L1.1,99,P99,"Task /
activity",Design,Non-environmental,To what extent are sustainability considerations integrated into the design and planning of new infrastructure or services?
Lifecycle Integration,L2: Consideration of sustainability during implementation,L2.1,102,P102,"Task /
activity",Implementation,Non-environmental,Are sustainability criteria applied during the implementation or deployment of infrastructure components and systems?
Lifecycle Integration,L3: Operational sustainability practices,L3.1,105,P105,"Task /
activity",Operation,Non-environmental,What sustainability practices are in place for the operation and maintenance of the RI’s infrastructure and services?
Lifecycle Integration,L4: Decommissioning/termination phase planning,L4.1,108,P108,"Task /
activity",Termination,Waste,Does the RI include environmental considerations in its decommissioning or termination plans for infrastructure or services?
